,cor_mean_rank,cor_std_rank,all_mean_rank,all_std_rank,cor_mean_prob,cor_std_prob,all_mean_prob,all_std_prob
0,41128.67741935484,25689.22371582584,53715.33934837093,30763.715438607298,1.0815710131314904e-07,1.3589044161629277e-07,2.782754926520691e-07,5.537094349402575e-06
1,66791.95161290323,20750.259536991278,80781.87568922306,21327.563323287966,2.807703978522989e-07,3.7271462081847945e-07,2.290043654830825e-07,2.7606612283018165e-06
2,15474.08064516129,12937.229956412973,34261.446616541354,26633.426195437238,1.3167533419923235e-05,1.3558601957041465e-05,5.826597461312421e-06,1.1114739391059695e-05
3,23716.08064516129,15004.179995328172,40200.714786967415,26295.236803263564,7.144900997441676e-06,9.97706668278343e-06,3.7745697255442805e-06,1.1406908806196285e-05
4,19642.75806451613,10914.070788821313,30509.137343358398,22939.357801342845,8.2066719581431e-06,9.916850685229366e-06,5.060536214334356e-06,8.311972793352669e-06
5,45792.6935483871,19459.451381873718,61042.23609022556,23251.594519131493,1.1342953125247393e-06,2.1983062202951663e-06,5.549148590878374e-07,3.1936158160501244e-06
6,64308.854838709674,17424.789228925456,72652.61303258146,19660.894790459926,1.0922645774965887e-07,5.746917800356515e-07,2.3545718643604115e-07,4.414727784561389e-06
7,32918.790322580644,15459.515086641622,45580.40200501253,25526.301080727648,1.0503204311046768e-06,3.243188495544767e-06,8.122546310055281e-07,4.7969819550104175e-06
8,28801.790322580644,14153.915269494706,41589.59649122807,25922.951076959467,8.667027072791426e-07,2.501204877046292e-06,8.704528042775051e-07,6.33157294070363e-06
9,34140.56451612903,11144.097877527016,43661.22305764411,24979.25460760886,1.598652322465366e-07,3.644463398279188e-07,6.481871196392315e-07,6.090031409011871e-06
10,40517.75806451613,8561.645624312298,50262.7694235589,22112.143556553547,4.557531616482034e-08,1.7581121367368913e-07,3.0598354080156445e-07,4.796421341232541e-06
11,36266.17741935484,9770.3083609742,47337.47919799499,23746.471398096077,6.833680512914832e-07,3.0749186257373804e-06,1.3070451720811497e-06,1.1305081662178648e-05
12,1.0,0.0,2685.22305764411,6885.938146269921,0.6703963937057603,0.2967124813976442,0.024255314245036526,0.12775281739893687
