,cor_mean_rank,cor_std_rank,all_mean_rank,all_std_rank,cor_mean_prob,cor_std_prob,all_mean_prob,all_std_prob
0,,,44678.3694235589,15684.090703268006,,,6.538248226320605e-06,3.905609681194504e-06
1,,,21604.686215538848,12412.056462684495,,,1.5273763639804353e-05,8.325430340321557e-06
2,,,15706.942857142858,11672.09871070855,,,2.2240980196047962e-05,1.4538807726952669e-05
3,,,20607.010025062656,16341.361208426326,,,2.060023797657253e-05,1.7858727370368896e-05
4,,,21350.766917293233,15275.241618073833,,,1.8974709273162516e-05,1.6694470418065344e-05
5,,,20353.648621553886,14272.859210805334,,,1.899216937537156e-05,1.5195196334797948e-05
6,,,20509.02305764411,15849.456032267051,,,2.1289577721736612e-05,2.0127677127662188e-05
7,,,21745.247117794486,18510.564328403794,,,2.1625978042609693e-05,2.476224172921299e-05
8,,,17111.473684210527,16582.230029993065,,,2.759598895357142e-05,2.9215490400183085e-05
9,,,11376.812531328322,12490.167748228629,,,3.643092680131007e-05,3.389299097463358e-05
10,,,16827.429573934838,16551.200768391893,,,2.987071027342964e-05,3.8084561607858996e-05
11,,,27050.56290726817,24917.643429055865,,,2.1515504821245895e-05,3.2556378258270136e-05
12,,,23164.744360902256,27824.75803870704,,,3.918920342589171e-05,6.365203757990567e-05
